id_test,epsilon,filter_size,downsample_ratio,psnr_filtered_1,psnr_filtered_2,psnr_upsampled_1,psnr_upsampled_2,time_approach_1,time_approach_2
0,0.001,3,2,22.670338118294417,22.67004883350428,22.669197280481335,22.669197280481335,-0.25157809257507324,-0.13684797286987305
1,0.001,3,4,22.668001160052636,22.66966071675074,22.66743257638376,22.66743257638376,-0.27655506134033203,-0.10526227951049805
2,0.001,3,8,22.6647801812302,22.668818747284124,22.664566547202952,22.664566547202952,-0.2671191692352295,-0.10349416732788086
3,0.001,7,2,22.671740897433544,22.669771824257424,22.669197280481335,22.669197280481335,-1.3663082122802734,-0.35975170135498047
4,0.001,7,4,22.668665222516502,22.669239465075872,22.66743257638376,22.66743257638376,-1.3900682926177979,-0.14932894706726074
5,0.001,7,8,22.664979231318156,22.668404211231476,22.664566547202952,22.664566547202952,-1.3762397766113281,-0.11311936378479004
6,0.001,15,2,22.67333039069746,22.669277946184888,22.669197280481335,22.669197280481335,-5.645167350769043,-1.5260608196258545
7,0.001,15,4,22.669949080866058,22.668642509418998,22.66743257638376,22.66743257638376,-6.7200562953948975,-0.43639326095581055
8,0.001,15,8,22.665628607348754,22.667842290606576,22.664566547202952,22.664566547202952,-5.84522271156311,-0.15235471725463867
9,1,3,2,22.66844508905871,22.66710380241286,22.669197280481335,22.669197280481335,-0.3247065544128418,-0.17743277549743652
10,1,3,4,22.667060778901792,22.664352761032205,22.66743257638376,22.66743257638376,-0.2951316833496094,-0.10825586318969727
11,1,3,8,22.66445299200867,22.661713196078512,22.664566547202952,22.664566547202952,-0.29905033111572266,-0.10548830032348633
12,1,7,2,22.66648733040997,22.66397508397652,22.669197280481335,22.669197280481335,-1.4489169120788574,-0.3721497058868408
13,1,7,4,22.66575292908869,22.661533288500276,22.66743257638376,22.66743257638376,-1.4408533573150635,-0.15154147148132324
14,1,7,8,22.663964699138063,22.65949963010796,22.664566547202952,22.664566547202952,-1.4819056987762451,-0.12491130828857422
15,1,15,2,22.663698333499774,22.6614300683948,22.669197280481335,22.669197280481335,-5.945745944976807,-1.4396307468414307
16,1,15,4,22.663411977730668,22.65947610458354,22.66743257638376,22.66743257638376,-7.129358530044556,-0.45578503608703613
17,1,15,8,22.662677738008824,22.657527398462463,22.664566547202952,22.664566547202952,-6.420146942138672,-0.16284966468811035
18,1000,3,2,22.66842977246767,22.6669983569823,22.669197280481335,22.669197280481335,-0.29125070571899414,-0.16110920906066895
19,1000,3,4,22.66705976913576,22.664200222965256,22.66743257638376,22.66743257638376,-0.3715822696685791,-0.1142420768737793
20,1000,3,8,22.664453622324267,22.66160191329082,22.664566547202952,22.664566547202952,-0.40075063705444336,-0.11762547492980957
21,1000,7,2,22.666377492747706,22.663715653662372,22.669197280481335,22.669197280481335,-1.3994812965393066,-0.42768263816833496
22,1000,7,4,22.665713570457044,22.661279157193043,22.66743257638376,22.66743257638376,-1.5493381023406982,-0.1856248378753662
23,1000,7,8,22.663959908004703,22.659332799232846,22.664566547202952,22.664566547202952,-1.6492784023284912,-0.16964197158813477
24,1000,15,2,22.663422992040168,22.661086559381936,22.669197280481335,22.669197280481335,-6.580895662307739,-1.5496411323547363
25,1000,15,4,22.663256364271874,22.659180370174923,22.66743257638376,22.66743257638376,-6.253084897994995,-0.47522425651550293
26,1000,15,8,22.66263147068408,22.65732299944414,22.664566547202952,22.664566547202952,-6.279281139373779,-0.16246438026428223
